Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Event_Window,Event_Earnings_Date
2023-01-03,130.27999877929688,130.89999389648438,124.16999816894533,125.06999969482422,122.9827117919922,112117500,AAPL,0,
2023-01-04,126.88999938964844,128.66000366210938,125.08000183105467,126.36000061035156,124.25118255615234,89113600,AAPL,0,
2023-01-05,127.12999725341795,127.7699966430664,124.76000213623048,125.0199966430664,122.93354034423828,80962700,AAPL,0,
2023-01-06,126.01000213623048,130.2899932861328,124.88999938964844,129.6199951171875,127.4567642211914,87754700,AAPL,0,
2023-01-09,130.47000122070312,133.41000366210938,129.88999938964844,130.14999389648438,127.97794342041016,70790800,AAPL,0,
2023-01-10,130.25999450683594,131.25999450683594,128.1199951171875,130.72999572753906,128.54824829101562,63896200,AAPL,0,
2023-01-11,131.25,133.50999450683594,130.4600067138672,133.49000549316406,131.26222229003906,69458900,AAPL,0,
2023-01-12,133.8800048828125,134.25999450683594,131.44000244140625,133.41000366210938,131.18356323242188,71379600,AAPL,0,
2023-01-13,132.02999877929688,134.9199981689453,131.66000366210938,134.75999450683594,132.510986328125,57809700,AAPL,0,
2023-01-17,134.8300018310547,137.2899932861328,134.1300048828125,135.94000244140625,133.6713104248047,63646600,AAPL,0,
2023-01-18,136.82000732421875,138.61000061035156,135.02999877929688,135.2100067138672,132.95347595214844,69672800,AAPL,0,
2023-01-19,134.0800018310547,136.25,133.77000427246094,135.27000427246094,133.01248168945312,58280400,AAPL,1,2023-02-02
2023-01-20,135.27999877929688,138.02000427246094,134.22000122070312,137.8699951171875,135.56910705566406,80223600,AAPL,1,2023-02-02
2023-01-23,138.1199951171875,143.32000732421875,137.89999389648438,141.11000061035156,138.75502014160156,81760300,AAPL,1,2023-02-02
2023-01-24,140.30999755859375,143.16000366210938,140.3000030517578,142.52999877929688,140.1513214111328,66435100,AAPL,1,2023-02-02
2023-01-25,140.88999938964844,142.42999267578125,138.80999755859375,141.86000061035156,139.4925079345703,65799300,AAPL,1,2023-02-02
2023-01-26,143.1699981689453,144.25,141.89999389648438,143.9600067138672,141.55746459960938,54105100,AAPL,1,2023-02-02
2023-01-27,143.16000366210938,147.22999572753906,143.0800018310547,145.92999267578125,143.49456787109375,70555800,AAPL,1,2023-02-02
2023-01-30,144.9600067138672,145.5500030517578,142.85000610351562,143.0,140.61351013183594,64015300,AAPL,1,2023-02-02
2023-01-31,142.6999969482422,144.33999633789062,142.27999877929688,144.2899932861328,141.88194274902344,65874500,AAPL,1,2023-02-02
2023-02-01,143.97000122070312,146.61000061035156,141.32000732421875,145.42999267578125,143.0029296875,77663600,AAPL,1,2023-02-02
2023-02-02,148.89999389648438,151.17999267578125,148.1699981689453,150.82000732421875,148.302978515625,118339000,AAPL,0,
2023-02-03,148.02999877929688,157.3800048828125,147.8300018310547,154.5,151.92156982421875,154357300,AAPL,0,
2023-02-06,152.57000732421875,153.10000610351562,150.77999877929688,151.72999572753906,149.19776916503906,69858300,AAPL,0,
2023-02-07,150.63999938964844,155.22999572753906,150.63999938964844,154.64999389648438,152.06907653808594,83322600,AAPL,0,
2023-02-08,153.8800048828125,154.5800018310547,151.1699981689453,151.9199981689453,149.38461303710938,64120100,AAPL,0,
2023-02-09,153.77999877929688,154.3300018310547,150.4199981689453,150.8699951171875,148.35214233398438,56007100,AAPL,0,
2023-02-10,149.4600067138672,151.33999633789062,149.22000122070312,151.00999450683594,148.7165069580078,57450700,AAPL,0,
2023-02-13,150.9499969482422,154.25999450683594,150.9199981689453,153.85000610351562,151.5133819580078,62199000,AAPL,0,
2023-02-14,152.1199951171875,153.77000427246094,150.86000061035156,153.1999969482422,150.87326049804688,61707600,AAPL,0,
2023-02-15,153.11000061035156,155.5,152.8800048828125,155.3300018310547,152.9708709716797,65573800,AAPL,0,
2023-02-16,153.50999450683594,156.3300018310547,153.35000610351562,153.7100067138672,151.37554931640625,68167900,AAPL,0,
2023-02-17,152.35000610351562,153.0,150.85000610351562,152.5500030517578,150.23312377929688,59144100,AAPL,0,
2023-02-21,150.1999969482422,151.3000030517578,148.41000366210938,148.47999572753906,146.2249298095703,58867200,AAPL,0,
2023-02-22,148.8699951171875,149.9499969482422,147.16000366210938,148.91000366210938,146.6484375,51011300,AAPL,0,
2023-02-23,150.08999633789062,150.33999633789062,147.24000549316406,149.39999389648438,147.1309814453125,48394200,AAPL,0,
2023-02-24,147.11000061035156,147.19000244140625,145.72000122070312,146.7100067138672,144.4818572998047,55469600,AAPL,0,
2023-02-27,147.7100067138672,149.1699981689453,147.4499969482422,147.9199981689453,145.67344665527344,44998500,AAPL,0,
2023-02-28,147.0500030517578,149.0800018310547,146.8300018310547,147.41000366210938,145.1711883544922,50547000,AAPL,0,
2023-03-01,146.8300018310547,147.22999572753906,145.00999450683594,145.30999755859375,143.1030731201172,55479000,AAPL,0,
2023-03-02,144.3800048828125,146.7100067138672,143.89999389648438,145.91000366210938,143.69398498535156,52238100,AAPL,0,
2023-03-03,148.0399932861328,151.11000061035156,147.3300018310547,151.02999877929688,148.7362060546875,70732300,AAPL,0,
2023-03-06,153.7899932861328,156.3000030517578,153.4600067138672,153.8300018310547,151.4936981201172,87558000,AAPL,0,
2023-03-07,153.6999969482422,154.02999877929688,151.1300048828125,151.60000610351562,149.29757690429688,56182000,AAPL,0,
2023-03-08,152.80999755859375,153.47000122070312,151.8300018310547,152.8699951171875,150.54830932617188,47204800,AAPL,0,
2023-03-09,153.55999755859375,154.5399932861328,150.22999572753906,150.58999633789062,148.3029022216797,53833600,AAPL,0,
2023-03-10,150.2100067138672,150.94000244140625,147.61000061035156,148.5,146.24462890625,68572400,AAPL,0,
2023-03-13,147.80999755859375,153.13999938964844,147.6999969482422,150.47000122070312,148.1846923828125,84457100,AAPL,0,
2023-03-14,151.27999877929688,153.39999389648438,150.10000610351562,152.58999633789062,150.27252197265625,73695900,AAPL,0,
2023-03-15,151.19000244140625,153.25,149.9199981689453,152.99000549316406,150.66644287109375,77167900,AAPL,0,
2023-03-16,152.16000366210938,156.4600067138672,151.63999938964844,155.85000610351562,153.48301696777344,76161100,AAPL,0,
2023-03-17,156.0800018310547,156.74000549316406,154.27999877929688,155.0,152.6459503173828,98944600,AAPL,0,
